Compartment,MP_form,Size_Bin,k_discorporation,k_fragmentation,k_heteroaggregation,k_heteroaggregate_breackup,k_biofouling,k_defouling,k_advective_transport,k_settling,k_rising,k_mixing,k_sea_spray_aerosol,k_sediment_resuspension,k_burial,k_runoff_transport,k_tillage,k_percolation,k_soil_air_resuspension,k_sequestration_deep_soils,k_wind_trasport,k_dry_depossition,k_wet_depossition
Ocean_Mixed_Water,heterMP,mp4,1.6045073624072808e-10,"[0.0, 0.0, 1.5854895997167266e-10, 0.0, 0.0]",0.0,5.6548790996822576e-08,3.858024691358025e-07,0.0,4.273255813953488e-09,0.0,3.6560322266794944e-05,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterMP,mp5,1.6045073624072808e-10,"[0.0, 0.0, 0.0, 1.5854895991887585e-09, 0.0]",0.0,0.0005501067738190957,3.858024691358025e-07,0.0,4.273255813953488e-09,0.0,0.0036560323636482383,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,biofMP,mp1,3.2090147248145615e-10,"[0, 0, 0, 0, 0]",0.000364389915082287,0.0,0.0,0.0,4.273255813953488e-09,2.2262072786816494e-07,0.0,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,biofMP,mp2,3.2090147248145615e-10,"[2.378234398782344e-10, 0.0, 0.0, 0.0, 0.0]",0.0013616785387678383,0.0,0.0,0.0,4.273255813953488e-09,4.36333043151714e-07,0.0,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,biofMP,mp3,3.2090147248145615e-10,"[0.0, 9.512937595129376e-10, 0.0, 0.0, 0.0]",0.12677629506930527,0.0,0.0,0.0,4.273255813953488e-09,2.758192680595385e-06,0.0,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,biofMP,mp4,3.2090147248145615e-10,"[0.0, 0.0, 8.08599695585997e-09, 0.0, 0.0]",20.741209592020706,0.0,0.0,0.0,4.273255813953488e-09,0.0,5.547452607015644e-06,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,biofMP,mp5,3.2090147248145615e-10,"[0.0, 0.0, 0.0, 7.94330289193303e-08, 0.0]",1011167.9808373844,0.0,0.0,0.0,4.273255813953488e-09,0.0,0.0033458140689514265,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterBiofMP,mp1,8.022536812036404e-11,"[0, 0, 0, 0, 0]",0.0,3.644981107069498e-13,0.0,0.0,4.273255813953488e-09,2.2267742146083904e-07,0.0,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterBiofMP,mp2,8.022536812036404e-11,"[2.3782637593383765e-12, 0.0, 0.0, 0.0, 0.0]",0.0,1.3618271092509709e-12,0.0,0.0,4.273255813953488e-09,4.363729516270421e-07,0.0,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterBiofMP,mp3,8.022536812036404e-11,"[0.0, 9.512939430186433e-12, 0.0, 0.0, 0.0]",0.0,1.2677681865661516e-10,0.0,0.0,4.273255813953488e-09,2.7582034724669324e-06,0.0,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterBiofMP,mp4,8.022536812036404e-11,"[0.0, 0.0, 8.085996958399845e-11, 0.0, 0.0]",0.0,2.0741205434346587e-08,0.0,0.0,4.273255813953488e-09,0.0,5.547451273045889e-06,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
