Compartment,MP_form,Size_Bin,k_discorporation,k_fragmentation,k_heteroaggregation,k_heteroaggregate_breackup,k_biofouling,k_defouling,k_advective_transport,k_settling,k_rising,k_mixing,k_sea_spray_aerosol,k_sediment_resuspension,k_burial,k_runoff_transport,k_tillage,k_percolation,k_soil_air_resuspension,k_sequestration_deep_soils,k_wind_trasport,k_dry_depossition,k_wet_depossition
Ocean_Mixed_Water,biofMP,mp1,3.2090147248145615e-10,"[0.0, 0.0, 0.0, 0.0, 0.0]",1.4025155484423012e-07,0.0,0.0,0.0,4.273255813953488e-09,2.2262072786816494e-07,0.0,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,biofMP,mp2,3.2090147248145615e-10,"[2.378234398782344e-10, 0.0, 0.0, 0.0, 0.0]",3.2153366055755757e-07,0.0,0.0,0.0,4.273255813953488e-09,4.36333043151714e-07,0.0,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,biofMP,mp3,3.2090147248145615e-10,"[9.417808219178083e-10, 9.512937595129375e-12, 0.0, 0.0, 0.0]",4.205131315977745e-05,0.0,0.0,0.0,4.273255813953488e-09,2.758192680595385e-06,0.0,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,biofMP,mp4,3.2090147248145615e-10,"[8.07791095890411e-09, 0.0, 8.08599695585997e-12, 0.0, 0.0]",0.006619100804091459,0.0,0.0,0.0,4.273255813953488e-09,0.0,5.547452607015644e-06,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,biofMP,mp5,3.2090147248145615e-10,"[7.942508561643837e-08, 0.0, 0.0, 7.94330289193303e-12, 0.0]",300.4716242733478,0.0,0.0,0.0,4.273255813953488e-09,0.0,0.0033458140689514265,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterBiofMP,mp1,8.022536812036404e-11,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1.731909238061159e-16,0.0,0.0,4.273255813953488e-09,3.9761738445712565e-07,0.0,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterBiofMP,mp2,8.022536812036404e-11,"[2.4734634501663645e-12, 0.0, 0.0, 0.0, 0.0]",0.0,5.883433610749536e-16,0.0,0.0,4.273255813953488e-09,5.665215244727535e-07,0.0,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterBiofMP,mp3,8.022536812036404e-11,"[9.42393561727571e-12, 9.51912688613708e-14, 0.0, 0.0, 0.0]",0.0,4.269167204210395e-14,0.0,0.0,4.273255813953488e-09,2.79459273902052e-06,0.0,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterBiofMP,mp4,8.022536812036404e-11,"[8.077919522390437e-11, 0.0, 8.086005527918356e-14, 0.0, 0.0]",0.0,6.6148287772519e-12,0.0,0.0,4.273255813953488e-09,0.0,5.542950463632149e-06,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterBiofMP,mp5,8.022536812036404e-11,"[7.942508570525761e-10, 0.0, 0.0, 7.943302900815842e-14, 0.0]",0.0,3.004715836404362e-07,0.0,0.0,4.273255813953488e-09,0.0,0.003345813607506033,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
